Problem name,experiment number,distance,time (seconds)
kroD100,8,22869.8,51.6085
kroD100,9,22812.4,51.6117
kroD100,10,22993.4,51.6317
kroD100,11,22848.8,51.6027
kroD100,12,22800.5,51.6189
kroD100,13,22963.4,51.6218
kroD100,14,23107.3,51.6215
kroD100,15,22802.9,51.6329
kroD100,16,22708.7,51.6019
kroD100,17,22725.5,51.6015
kroD100,18,23041.6,51.6152
kroD100,19,22891.1,51.6126
kroD100,20,22984.9,51.5969
kroD100,21,22654.5,51.6085
kroD100,22,22659.1,51.6105
kroD100,23,22958.7,51.6454
kroD100,24,22698.4,51.6107
kroD100,25,22996.1,51.6062
kroD100,26,23019,51.6207
kroD100,27,22996.4,51.6091
kroD100,28,22868,51.6738
kroD100,29,23060.7,51.6161
kroE100,0,23805.2,51.4695
kroE100,1,23805.2,51.4522
kroE100,2,23684.5,51.465
kroE100,3,23805.2,51.4809
kroE100,4,23805.2,51.4518
kroE100,5,23478.7,51.4747
kroE100,6,23509,51.4534
kroE100,7,23805.2,51.457
kroE100,8,23876.3,51.4841
kroE100,9,23770.4,51.4549
kroE100,10,23529.9,51.4706
kroE100,11,23501,51.4565
kroE100,12,23775.3,51.4532
kroE100,13,23794.1,51.4766
kroE100,14,23805.2,51.4469
kroE100,15,23805.2,51.443
kroE100,16,23734.4,51.4677
kroE100,17,23864.7,51.4823
kroE100,18,23805.2,51.4965
kroE100,19,23805.2,51.4551
kroE100,20,23805.2,51.508
kroE100,21,23805.2,51.47
kroE100,22,23795.7,51.484
kroE100,23,23784.3,51.4688
kroE100,24,23868.2,51.4997
kroE100,25,23805.2,51.4603
kroE100,26,23854.1,51.4923
kroE100,27,23653.9,51.4564
kroE100,28,23805.2,51.4538
kroE100,29,23716.5,51.4591
p43,0,5631,8.29085
p43,1,5633,8.29721
p43,2,5633,8.27685
p43,3,5635,8.31375
p43,4,5631,8.27484
p43,5,5631,8.30899
p43,6,5636,8.28435
p43,7,5633,8.31168
p43,8,5635,8.27598
p43,9,5636,8.28849
p43,10,5634,8.27371
p43,11,5633,8.2757
p43,12,5631,8.28172
p43,13,5633,8.27599
